,team,cluster
0,233474-Clarify,308
1,393223-FabricAdminClient,190
2,419844-PolicyClient,289
3,296960-Elastic Load Balancing,192
4,403456-AWS Global Accelerator,298
5,258052-Reisezentren-API,310
6,309251-Cloud Tasks,235
7,415745-IAM Service Account Credentials,344
8,276488-Knowledge Graph Search,29
9,88076-KeyVaultClient,164
10,190479-Bungie.Net,257
11,38926-ContainerServiceClient,211
12,178188-TimeSeriesInsightsClient,211
13,286731-Open Targets Platform,151
14,135187-SqlManagementClient,176
15,231440-AWS Database Migration Service,270
16,237584-AWS Cost and Usage Report Service,340
17,319511-Azure SQL Database Backup,176
18,397330-Just Eat Tenant API,24
19,114708-MonitorManagementClient,43
20,141332-NPR Listening Service,308
21,180245-People,336
22,258078-StorageManagementClient,211
23,444443-Neblio REST API Suite,118
24,426023-TVmaze user,89
25,190502-Geographic,328
26,280609-Web Security Scanner,32
27,71719-BatchAI,238
28,460832-Clever-Cloud,321
29,114728-UpdateAdminClient,190
30,141355-Deed,131
31,92203-Postmark Account-level,183
32,229417-U.S. EPA Enforcement and Compliance History Online (ECHO) - Effluent Charting and Reporting,313
33,290857-ApplicationInsightsManagementClient,211
34,149555-Sandbox,199
35,18483-Europeana,19
36,77877-Azure Data Migration Service Resource Provider,288
37,157750-Bhagavad Gita,356
38,426034-SqlManagementClient,176
39,276540-TrafficManagerManagementClient,46
40,434236-ContainerServiceClient,211
41,256061-AdSense Host,336
42,419896-BlueprintClient,211
43,141378-Azure SQL Server Backup Long Term Retention Vault,176
44,268356-ContainerInstanceManagementClient,299
45,294983-ServerManagement,202
46,81989-Amazon Elastic File System,306
47,456770-Cloud Search,248
48,92233-Game feeds APIs,28
49,168010-Avaza,208
50,313420-Application Insights Data Plane,138
51,303176-G Suite Vault,248
52,395338-Amazon Relational Database Service,296
53,18510-Numbers,276
54,71759-StorageManagementClient,211
55,98383-Azure Media Services,344
56,307275-Amazon Route 53 Resolver,291
57,157782-ApplicationInsightsManagementClient,179
58,241749-MLB v3 Projections,155
59,364627-Apacta,143
60,125014-Box 2.0 Uploads,38
61,233556-Cloud Vision,168
62,18520-SqlManagementClient,176
63,204894-Azure Media Services,344
64,307289-StorageManagementClient,211
65,135260-Fahrplan-Free,335
66,63583-Anchore Engine API Server,111
67,329818-SendGrid v3,184
68,153698-Cloud Storage,323
69,313446-Pioneer blog feeds APIs,28
70,276577-Route Optimization,240
71,125031-Cosine Similarity,28
72,292963-GameSparks Request,94
73,168042-RecoveryServicesClient,162
74,356461-BeezUP,252
75,403565-Seldon,272
76,350313-AutomationManagement,73
77,276585-SelectPdf HTML To PDF,200
78,34929-Vestorly,219
79,149616-Google App State,107
80,364663-Ad Experience Report,51
81,88180-Wavecell.Sms.Api,217
82,295025-Text Analytics Client,35
83,114809-ResourceHealthMetadata API Client,51
84,135291-NFL v3 Play-by-Play,1
85,147579-Healthcare,357
86,149624-NetworkManagementClient,286
87,270463-redirection.io,40
88,419965-Word2Vec APIs,27
89,141438-MLB v3 RotoBaller Premium News,360
90,71804-ManagementLinkClient,289
91,444536-StorageManagementClient,211
92,118912-EventGridManagementClient,211
93,290951-Azure Action Groups,299
94,215174-NBA Stats,2
95,127111-Data,321
96,98441-ApiManagementClient,198
97,266380-CustomerInsightsManagementClient,286
98,344205-AppServiceCertificateOrders API Client,223
99,34953-Google Search Console URL Testing Tools,103
100,229514-HDInsightManagementClient,211
101,157836-Transportation Laws and Incentives,107
102,319627-Just Eat UK,350
103,403606-Winning Email,330
104,256144-NFL v3 RotoBaller Premium News,361
105,135316-Azure SQL Server API spec,176
106,426128-OpenCage Geocoder,142
107,118934-SqlManagementClient,176
108,88217-SubscriptionsManagementClient,211
109,80024-Twitter,279
110,344220-HDInsightManagementClient,211
111,219289-AppServicePlans API Client,205
112,290975-AzureBridgeAdminClient,211
113,82077-MonitorManagementClient,304
114,344229-Authentication,171
115,460967-Azure Alerts Management Service Resource Provider,194
116,293030-Twitter APIs,27
117,164006-Gitlab,270
118,256167-Url2Label by word vector APIs,27
119,356513-RecoveryServicesBackupClient,162
120,211109-Azure Bot Service,270
121,389283-AGCO API,108
122,155818-NHL v3 Stats,92
123,360621-CostManagementClient,139
124,293039-airportsapi,353
125,329896-Azure Data Catalog Resource Provider,323
126,444587-SqlManagementClient,176
127,182451-AWS CloudHSM V2,295
128,299189-Google Play Game Services,95
129,69811-setlist.fm,241
130,186549-Postmark,183
131,286899-OpenFinTech.io,143
132,225467-Twine,143
133,266431-BikeWise API v2,336
134,69822-Visual Studio Projects Resource Provider Client,290
135,262331-Amazon Route 53 Domains,185
136,286907-Words to Vectors APIs,27
137,348357-Amazon Rekognition,224
138,168131-AutomationManagement,74
139,147648-ApiManagementClient,198
140,213185-NetworkManagementClient,286
141,403653-MarketplaceOrdering.Agreements,199
142,149702-Stationsdatenbereitstellung,311
143,360641-AWS Marketplace Entitlement Service,215
144,272577-ShipStation Developer Portal,257
145,127175-HDInsightManagementClient,211
146,239813-Stackdriver Logging,178
147,123081-CBB v3 Stats,92
148,170186-Gitea API.,40
149,393416-Power BI Embedded Management Client,244
150,127182-SqlManagementClient,176
151,291028-Compute Admin Client,113
152,268501-TrafficManagerManagementClient,44
153,389329-HanaManagementClient,211
154,164052-SqlManagementClient,176
155,147674-FabricAdminClient,191
156,209114-Amazon Cognito Identity,157
157,293086-ApplicationInsightsManagementClient,211
158,123098-2ch matome feeds APIs,28
159,362713-Cambase.io,156
160,61665-NFL v3 Stats,92
161,168163-PageSpeed Insights,281
162,151776-Gateway,203
163,211174-News Search,13
164,348397-Commerce Taxonomy Api,120
165,164075-Azure SQL Database,176
166,33002-StatSocial Platform,214
167,30955-SalesLoft Platform,215
168,295151-Manufacturer Center,344
169,153838-Binary Authorization,115
170,178414-Cloud Firestore,168
171,389353-Azure SQL Database,176
172,127219-SpectroCoin Merchant,26
173,229616-ContainerServiceClient,211
174,352502-Google Classroom,105
175,389366-News feeds APIs,28
176,39161-Browse,251
177,225528-Personnel Data,314
178,248063-FrontDoorManagementClient,290
179,444667-Cloud Speech,287
180,377092-Stripe,198
181,149761-Airports API v2,353
182,137480-ServiceBusManagementClient,211
183,170249-NetworkManagementClient,286
184,348430-AWS S3 Control,336
185,370958-AWS IoT,336
186,153870-StorageManagementClient,211
187,164111-StorageManagementClient,211
188,262409-groov Public,284
189,389384-ContainerServiceClient,211
190,329995-Application Insights Data Plane,138
191,295179-koomalooma Partner,59
192,432393-Mandrill,184
193,397590-Cloud Functions,267
194,8468-DCM/DFA Reporting And Trafficking,88
195,291097-Microsoft.ResourceHealth,288
196,444696-Kmeans clustering by word2vec,27
197,41248-RecoveryServicesBackupClient,161
198,114977-WordNet Similarity APIs,27
199,397606-HackathonWatch,362
200,440615-Cloud Dataproc,270
201,164134-FabricAdminClient,190
202,63782-Groups Settings,289
203,170277-AutomationManagement,239
204,452907-AWS SecurityHub,291
205,297258-Cloud Datastore,168
206,164146-Storm Glass Marine Weather,352
207,241971-ApiManagementClient,198
208,141622-AzureDeploymentManager,198
209,454975-Engagement.ManagementClient,199
210,307518-Consumer Surveys,172
211,94524-Ad Exchange Buyer,336
212,49470-BrandLovers Marketplace API V1,252
213,291130-Compute Admin Client,10
214,397638-SqlManagementClient,176
215,440645-FabricAdminClient,190
216,205126-DnsManagementClient,211
217,414019-WebSite Management Client,290
218,131402-AWS Application Discovery Service,179
219,186697-BlueprintClient,211
220,432457-AutomationManagement,78
221,127312-posty_API,213
222,364884-CircleCI,334
223,164176-MonitorManagementClient,278
224,248151-ApiManagementClient,198
225,211286-LH Public,128
226,242010-RunCommandsClient,211
227,399711-Amazon Comprehend,108
228,31067-AWS IoT Data Plane,159
229,39260-CustomSearch,91
230,248162-FabricAdminClient,190
231,297312-AviationData.Systems Airports API V1,354
232,350561-Azure Machine Learning Workspaces,286
233,86374-Jira,270
234,92523-DataLakeStoreAccountManagementClient,323
235,49515-Azure SQL Database replication links,176
236,325999-Amazon Kinesis,323
237,385390-DRACOON,199
238,364905-AWS RDS DataService,321
239,266602-NHL v3 Projections,363
240,96622-Amazon QuickSight,301
241,368-Service Map,224
242,307574-Amazon CloudSearch Domain,185
243,455025-Azure SQL Database Import/Export spec,305
244,366973-ResourceManagementClient,289
245,65915-Amazon Cognito Identity Provider,157
246,416123-PatientView,199
247,164224-AWS Performance Insights,61
248,98690-Spinitron v2,93
249,395653-SportsData,325
250,309632-DataLakeAnalyticsAccountManagementClient,323
251,307585-MonitorManagementClient,57
252,317826-Amazon Simple Notification Service,259
253,416136-CommerceManagementClient,211
254,399753-SubscriptionsManagementClient,211
255,106896-ComputeManagementClient,211
256,432531-ApplicationInsightsManagementClient,211
257,8600-AutomationManagement,239
258,416158-Web Search,13
259,309661-Box 2.0 OAuth2 Token,335
260,67994-OpenFEC,326
261,410022-Beanstream Payments,250
262,444836-Admin Reports,248
263,350626-Tradeworks,151
264,72105-NPR Identity Service,321
265,258473-Cloud Build,270
266,317864-MicrosoftSerialConsoleClient,336
267,264619-Amazon Simple Email Service,184
268,326059-Item Feed Service,38
269,127408-ApiManagementClient,198
270,397748-Azure ML Commitment Plans Management Client,205
271,410036-Url2Src APIs,28
272,133553-uebermaps API endpoints,226
273,65972-HDInsightManagementClient,211
274,295345-StorageManagement,306
275,371123-Amazon Macie,291
276,301491-Twilio,292
277,395710-TransitFeeds,321
278,262589-Workload Monitor,242
279,410044-InfrastructureInsightsManagementClient,190
280,295365-Amazon Mobile Analytics,323
281,352710-Google Cloud Memorystore for Redis,270
282,295375-APIs.guru,275
283,301512-Discovery Market Research,86
284,268745-Application Auto Scaling,193
285,123343-BigQuery Data Transfer,322
286,156108-opendatasoft,133
287,248273-Cloud OS Login,344
288,422356-Published Plan Service,205
289,293328-AWS Certificate Manager,223
290,135639-AWS X-Ray,324
291,307665-SqlManagementClient,176
292,350684-AutomationManagement,331
293,358876-Google Play EMM,241
294,309726-ISBNdb,12
295,147934-AWS Resource Groups,289
296,291289-Service Usage,270
297,352728-NetworkManagementClient,286
298,248285-WordNet synonym APIs,27
299,301543-Swagger2OpenAPI Converter,12
300,264672-SqlManagementClient,176
301,72170-GuestConfiguration,81
302,356841-Amazon Import/Export Snowball,238
303,68076-SqlManagementClient,176
304,135663-Custom Search Client,13
305,385512-WordNet APIs,27
306,82414-Cenit IO - REST API Specification,270
307,352746-Azure SQL Database,176
308,92656-PolicyClient,289
309,246258-Amazon Route 53,293
310,39410-Cloud Composer,269
311,119283-Amazon Chime,291
312,137713-Google Play Movies Partner,350
313,141815-Voodoo Manufacturing 3D Print,125
314,182772-CFB v3 Scores,92
315,268786-Buy Marketing,252
316,504-Orders,126
317,147960-EU BON UTIS,155
318,92669-WorkbookClient,211
319,403962-Flinkster_API_NG,124
320,367096-LotaData,339
321,131585-Surveys,172
322,156161-StorageManagementClient,211
323,426499-AWS Secrets Manager,163
324,246282-FabricAdminClient,190
325,152072-MariaDBManagementClient,176
326,295434-SqlManagementClient,176
327,352789-EVEMarketer Marketstat,358
328,356881-SqlManagementClient,176
329,533-RecoveryServicesBackupClient,239
330,117268-AWS Config,291
331,225812-Bufferapp,234
332,137752-Article Search,64
333,248355-ApiManagementClient,198
334,416294-StorageImportExport,305
335,82469-AutomationManagement,158
336,418338-AWS Lambda,323
337,426528-Reloadly REST APIs,335
338,131621-UsageManagementClient,140
339,428577-ClickMeter,89
340,256554-Wordnik,135
341,29227-AWS Greengrass,324
342,178734-NetworkManagementClient,286
343,205358-AWS Mobile,155
344,426550-Google Fonts Developer,98
345,350774-Cisco PSIRT openVuln,338
346,268861-StreamAnalyticsManagementClient,239
347,39482-ApplicationInsightsManagementClient,211
348,141880-Azure Addons Resource Provider,204
349,426554-Poemist,364
350,47677-RAMADDA,327
351,256572-Entity Search,15
352,457273-Amazon WorkSpaces,197
353,70208-AWS Amplify,201
354,111171-Noosh API application,153
355,47687-ApplicationInsightsManagementClient,229
356,117321-OMDb,110
357,414286-EventHub2018PreviewManagementClient,206
358,451151-Google Analytics,323
359,445004-AzureAnalysisServices,176
360,207432-Amazon Neptune,296
361,266831-YouTube Reporting,238
362,215631-Amazon Elasticsearch Service,185
363,115281-ApiManagementClient,282
364,225875-Visual Studio Projects Resource Provider Client,290
365,264784-AWS Auto Scaling Plans,193
366,416336-FeatureClient,55
367,279132-Amazon Pinpoint,66
368,195161-StackExchange,350
369,371289-Safe Browsing,288
370,141919-RSS2JSON APIs,28
371,248413-Cloud Identity-Aware Proxy,336
372,279140-NetworkManagementClient,286
373,297574-Amazon CloudWatch,260
374,248422-NetworkManagementClient,286
375,150117-WinSMS,330
376,234089-Google Cloud Machine Learning Engine,230
377,72298-SqlManagementClient,176
378,262767-TaskQueue,236
379,385646-DataBoxManagementClient,239
380,279158-Twitter APIs with sentiment by Apitore sentiment,27
381,76402-Amazon Simple Workflow Service,191
382,451186-FabricAdminClient,191
383,432765-Google+,270
384,279160-Certificate feeds APIs,28
385,141951-ApplicationInsightsManagementClient,211
386,82559-Stackdriver Profiler,201
387,117376-SqlManagementClient,176
388,80517-Amazon Elastic MapReduce,296
389,385664-AutomationManagement,343
390,268940-Amazon Lex Runtime Service,180
391,426638-AWS IoT Jobs Data Plane,238
392,414348-FabricAdminClient,190
393,311945-Gmail,336
394,244369-CallFire,182
395,422548-SqlVirtualMachineManagementClient,299
396,397970-Stats,94
397,424595-Data2CRM.API,336
398,416400-AutomationManagement,79
399,234139-APIs Discovery Service,151
400,234143-RecoveryServicesBackupClient,162
401,316058-Alexa For Business,253
402,365210-AWSServerlessApplicationRepository,261
403,424614-SqlManagementClient,176
404,66208-Domains API Client,185
405,178851-DeviceServices,207
406,12968-AmazonApiGatewayV2,292
407,17064-AWS OpsWorks,241
408,127661-AWS Support,319
409,209581-DataLakeAnalyticsCatalogManagementClient,323
410,223917-Slicebox,116
411,295595-CitySDK Linked Data,316
412,119473-Azure Data Lake Storage,306
413,213681-CdnManagementClient,290
414,377533-SqlManagementClient,239
415,33465-iotHubClient,207
416,219832-Marketcheck Cars,62
417,422599-Afterbanks,7
418,426695-URL Shortener,174
419,416452-Auckland Museum,40
420,92866-Firebase Rules,297
421,205504-Azure Maps Resource Provider,288
422,244423-ApiManagementClient,198
423,371393-Azure Dedicated HSM Resource Provider,295
424,262860-DevSpacesManagement,197
425,269007-TimesTags,63
426,418509-Service Control,243
427,269000-PolicyTrackedResourcesClient,141
428,150220-NASCAR v2,365
429,66257-SubscriptionsManagementClient,211
430,312022-AWS Price List Service,252
431,185046-ADHybridHealthService,199
432,367327-ART19 Content,122
433,189151-MotaWord,155
434,344792-Billbee,208
435,209629-SubscriptionClient,211
